timestamp,can_id,dlc,data
1789297070.6247382,0x100,8,C800000000000000
1789297070.724866,0x100,8,9001000000000000
1789297070.8248773,0x100,8,5802000000000000
1789297070.9248164,0x100,8,2003000000000000
1789297071.0248792,0x100,8,E803000000000000
1789297071.125303,0x100,8,B004000000000000
1789297071.2253497,0x100,8,7805000000000000
1789297071.3250606,0x100,8,4006000000000000
1789297071.4252565,0x100,8,0807000000000000
1789297071.525404,0x100,8,D007000000000000
1789297071.6247997,0x100,8,9808000000000000
1789297071.7251077,0x100,8,6009000000000000
1789297071.8249362,0x100,8,280A000000000000
1789297071.9252577,0x100,8,F00A000000000000
1789297072.0247133,0x100,8,B80B000000000000
1789297072.124701,0x100,8,800C000000000000
1789297072.2247498,0x100,8,480D000000000000
1789297072.3247836,0x100,8,100E000000000000
1789297072.4247873,0x100,8,D80E000000000000
1789297072.5247273,0x100,8,A00F000000000000
1789297072.6247323,0x100,8,6810000000000000
1789297072.7248073,0x100,8,3011000000000000
1789297072.8247154,0x100,8,F811000000000000
1789297072.9248724,0x100,8,C012000000000000
1789297073.024885,0x100,8,8813000000000000
1789297073.1252189,0x100,8,5014000000000000
1789297073.225071,0x100,8,1815000000000000
1789297073.3249588,0x100,8,E015000000000000
1789297073.4248652,0x100,8,A816000000000000
1789297073.524853,0x100,8,7017000000000000
1789297073.6254778,0x100,8,7017000000000000
1789297073.7248387,0x100,8,7017000000000000
1789297073.825103,0x100,8,7017000000000000
1789297073.9251485,0x100,8,7017000000000000
1789297074.0250285,0x100,8,7017000000000000
1789297074.1251044,0x100,8,7017000000000000
1789297074.2249913,0x100,8,7017000000000000
1789297074.3252435,0x100,8,7017000000000000
1789297074.425204,0x100,8,7017000000000000
1789297074.5249262,0x100,8,7017000000000000
1789297074.625097,0x100,8,7017000000000000
1789297074.7249007,0x100,8,7017000000000000
1789297074.825079,0x100,8,7017000000000000
1789297074.925262,0x100,8,7017000000000000
1789297075.025404,0x100,8,7017000000000000
1789297075.1251574,0x100,8,7017000000000000
1789297075.2250316,0x100,8,7017000000000000
1789297075.325088,0x100,8,7017000000000000
1789297075.4248302,0x100,8,7017000000000000
1789297075.5247834,0x100,8,7017000000000000
1789297075.625183,0x100,8,7017000000000000
1789297075.7248173,0x100,8,7017000000000000
1789297075.8251805,0x100,8,7017000000000000
1789297075.9250834,0x100,8,7017000000000000
1789297076.0248284,0x100,8,7017000000000000
1789297076.1250923,0x100,8,7017000000000000
1789297076.2250907,0x100,8,7017000000000000
1789297076.3250954,0x100,8,7017000000000000
1789297076.425563,0x100,8,7017000000000000
1789297076.5253837,0x100,8,7017000000000000
1789297076.6251197,0x100,8,A816000000000000
1789297076.7249022,0x100,8,E015000000000000
1789297076.8252134,0x100,8,1815000000000000
1789297076.9250538,0x100,8,5014000000000000
1789297077.0253174,0x100,8,8813000000000000
1789297077.1248171,0x100,8,C012000000000000
1789297077.2250655,0x100,8,F811000000000000
1789297077.325106,0x100,8,3011000000000000
1789297077.4248617,0x100,8,6810000000000000
1789297077.5253375,0x100,8,A00F000000000000
1789297077.6253636,0x100,8,D80E000000000000
1789297077.7248025,0x100,8,100E000000000000
1789297077.825164,0x100,8,480D000000000000
1789297077.92493,0x100,8,800C000000000000
1789297078.0248988,0x100,8,B80B000000000000
1789297078.1254535,0x100,8,F00A000000000000
1789297078.22517,0x100,8,280A000000000000
1789297078.3250992,0x100,8,6009000000000000
1789297078.424847,0x100,8,9808000000000000
1789297078.5248282,0x100,8,D007000000000000
1789297078.6248698,0x100,8,0807000000000000
1789297078.7250013,0x100,8,4006000000000000
1789297078.8248403,0x100,8,7805000000000000
1789297078.925064,0x100,8,B004000000000000
1789297079.0249605,0x100,8,E803000000000000
1789297079.1253173,0x100,8,2003000000000000
1789297079.225394,0x100,8,5802000000000000
1789297079.3252451,0x100,8,9001000000000000
1789297079.4249532,0x100,8,C800000000000000
1789297079.5249388,0x100,8,0000000000000000
1789297079.6249282,0x100,8,0000000000000000
1789297079.725096,0x100,8,0000000000000000
1789297079.8252785,0x100,8,0000000000000000
1789297079.9253106,0x100,8,0000000000000000
1789297080.0248337,0x100,8,0000000000000000
1789297080.1250834,0x100,8,0000000000000000
1789297080.2248714,0x100,8,0000000000000000
1789297080.3252454,0x100,8,0000000000000000
1789297080.4253755,0x100,8,0000000000000000
1789297080.524883,0x100,8,0000000000000000
1789297080.6252885,0x100,8,0000000000000000
1789297080.7251976,0x100,8,0000000000000000
1789297080.8251998,0x100,8,0000000000000000
1789297080.9251,0x100,8,0000000000000000
1789297081.0254831,0x100,8,0000000000000000
1789297081.12525,0x100,8,0000000000000000
1789297081.2253861,0x100,8,0000000000000000
1789297081.324845,0x100,8,0000000000000000
1789297081.4250672,0x100,8,0000000000000000
1789297081.5247989,0x100,8,0000000000000000
1789297081.6248147,0x100,8,0000000000000000
1789297081.7248778,0x100,8,0000000000000000
1789297081.825082,0x100,8,0000000000000000
1789297081.9250853,0x100,8,0000000000000000
1789297082.0252569,0x100,8,0000000000000000
1789297082.1251202,0x100,8,0000000000000000
1789297082.225405,0x100,8,0000000000000000
1789297082.3252292,0x100,8,0000000000000000
1789297082.4252539,0x100,8,0000000000000000
1789297082.5253863,0x100,8,0000000000000000
1789297082.6252391,0x100,8,C800000000000000
1789297082.7250414,0x100,8,9001000000000000
1789297082.8248224,0x100,8,5802000000000000
1789297082.9253747,0x100,8,2003000000000000
1789297083.0251021,0x100,8,E803000000000000
1789297083.1249683,0x100,8,B004000000000000
1789297083.2253633,0x100,8,7805000000000000
1789297083.325004,0x100,8,4006000000000000
1789297083.4249632,0x100,8,0807000000000000
1789297083.5248194,0x100,8,D007000000000000
1789297083.6247876,0x100,8,9808000000000000
1789297083.725186,0x100,8,6009000000000000
1789297083.8248532,0x100,8,280A000000000000
1789297083.9250233,0x100,8,F00A000000000000
1789297084.0252502,0x100,8,B80B000000000000
1789297084.1253238,0x100,8,800C000000000000
1789297084.2250915,0x100,8,480D000000000000
1789297084.3249853,0x100,8,100E000000000000
1789297084.4248388,0x100,8,D80E000000000000
1789297084.5248077,0x100,8,A00F000000000000
1789297084.6249275,0x100,8,6810000000000000
1789297084.7251499,0x100,8,3011000000000000
1789297084.8248308,0x100,8,F811000000000000
1789297084.925077,0x100,8,C012000000000000
1789297085.0248446,0x100,8,8813000000000000
1789297085.1251607,0x100,8,5014000000000000
1789297085.225068,0x100,8,1815000000000000
1789297085.3250792,0x100,8,E015000000000000
1789297085.424872,0x100,8,A816000000000000
1789297085.5248725,0x100,8,7017000000000000
1789297085.6248283,0x100,8,7017000000000000
1789297085.7250566,0x100,8,7017000000000000
1789297085.8248289,0x100,8,7017000000000000
1789297085.9251182,0x100,8,7017000000000000
1789297086.0247812,0x100,8,7017000000000000
1789297086.1248004,0x100,8,7017000000000000
1789297086.2249918,0x100,8,7017000000000000
1789297086.325284,0x100,8,7017000000000000
1789297086.4250913,0x100,8,7017000000000000
1789297086.5251813,0x100,8,7017000000000000
1789297086.6250908,0x100,8,7017000000000000
1789297086.724931,0x100,8,7017000000000000
1789297086.825046,0x100,8,7017000000000000
1789297086.9249766,0x100,8,7017000000000000
1789297087.0250812,0x100,8,7017000000000000
1789297087.1251197,0x100,8,7017000000000000
1789297087.2252948,0x100,8,7017000000000000
1789297087.3251019,0x100,8,7017000000000000
1789297087.4255395,0x100,8,7017000000000000
1789297087.5248222,0x100,8,7017000000000000
1789297087.6250856,0x100,8,7017000000000000
1789297087.7249875,0x100,8,7017000000000000
1789297087.8252432,0x100,8,7017000000000000
1789297087.9248247,0x100,8,7017000000000000
1789297088.0247889,0x100,8,7017000000000000
1789297088.1248043,0x100,8,7017000000000000
1789297088.225092,0x100,8,7017000000000000
1789297088.3254457,0x100,8,7017000000000000
